,File,hue,saturation,value,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135,metric,eccentricity,Class,Image,CannyEdgeProbability,RobertsEdgeProbability,SobelEdgeProbability,ScharrEdgeProbability,PrewittEdgeProbability,Gaussian3EdgeProbability,Gaussian7EdgeProbability,Median3EdgeProbability,Var3EdgeProbability
615,tungro_virus (52).bmp,0.03117573464482756,0.1504824760771086,0.4248293374790255,0.1696870426001287,0.07337456487216831,0.1855136254031857,0.1765580133863641,0.7801380880292756,0.8892355148283343,0.709370758982253,0.675906711543934,0.1884568744264734,0.3535857783238494,0.1620509988523249,0.1913181685704343,0.04301923301726746,0.01635877425009222,0.05098052514800102,0.05810100826023212,0.01682241926737565,0.02258686869568451,0.01120410880329658,0.01414166503612917,0.09695569625399553,0.1171255941695805,0.07706073297838001,0.08603670943128666,0.0190200473328493,0.183015485032199,tungro_virus,tungro_virus (52).bmp,0.03368144132653061,7.280507381813364e-05,9.053498797410561e-05,9.192677157019757e-05,8.907255173007851e-05,0.4433385854341737,0.443343274809924,0.4472788334083633,0.4310162346188476
616,tungro_virus (53).bmp,0.01592242610571071,0.1359254410886596,0.4867601867466718,0.2179903060978976,0.2334280420678587,0.2575060305869558,0.1898006039174019,0.7486002145400519,0.6198379448994601,0.5764424493908561,0.7337401068910758,0.1323419684250106,0.1323062379798801,0.1118529569622221,0.1605296016034991,0.06123737683673658,0.08971448210715179,0.09503575927019112,0.06154922525514271,0.01152850501882587,0.009876542383462493,0.007819974173824556,0.01109927586837134,0.0751018495599007,0.06712687893171548,0.06023863037555862,0.07286553253367611,0.01893611144836701,0.0,tungro_virus,tungro_virus (53).bmp,0.02987484056122449,8.954361917884367e-05,0.0001165402298988187,0.000117416992560809,0.0001156056992339175,0.4567136229491797,0.4567190157312925,0.4606514480792317,0.4310162346188476
617,tungro_virus (54).bmp,0.2496877307544155,0.2078733961481604,0.5567923499098154,0.2752622038325508,0.2141245740262875,0.1653066758551365,0.1858248341647381,0.629994178708819,0.6943882856553382,0.7785519085128094,0.7151829955071538,0.1233446232553719,0.1682003406209623,0.2812119542034678,0.2091731220338943,0.09974255920040084,0.07781456789522528,0.05292887827476383,0.07158267017372712,0.01040996974158224,0.0110845184319042,0.01509157949553349,0.0134348443458073,0.0699599729893727,0.07278031971288335,0.09379919873366613,0.0830958128030704,0.002028332114267608,0.588578051638063,tungro_virus,tungro_virus (54).bmp,0.03698979591836735,8.58415163961873e-05,0.0001119715444914585,0.0001127474438136317,0.0001111207551702347,0.5129368935074029,0.5129450217587035,0.5167685824329732,0.4310162346188476
618,tungro_virus (55).bmp,0.02619295279544141,0.1821274581367562,0.639964547911338,0.2044908645948098,0.1488794960507876,0.1588822934496707,0.1766762573187878,0.6748874277957881,0.7390447961552418,0.7349621039258416,0.6492943714067733,0.1486374445317952,0.1913257435318983,0.2163564141903211,0.1820199599428339,0.05516054647784349,0.03889468286883752,0.03928469275326898,0.05472272685176779,0.01437499687509706,0.0143695547888323,0.01337766332893156,0.01412826534656696,0.08729749678953438,0.08695240924893838,0.08669241753874105,0.08598156221169426,0.003724155207660583,0.4883249933867383,tungro_virus,tungro_virus (55).bmp,0.02622767857142857,8.136895315527384e-05,0.0001011601070056661,0.0001020999027214908,0.0001001899752852561,0.4998313387855142,0.4998276654411765,0.5037277410964386,0.4310162346188476
619,tungro_virus (56).bmp,0.04901069199932172,0.2747800711471702,0.6312095716238385,0.2620535960443747,0.2047383950806691,0.2541180197061158,0.247180661830225,0.7081667279378904,0.7536188168223319,0.6541813357714672,0.6652671489675097,0.104631059084749,0.1514042387617392,0.1671629603358803,0.1229576084294432,0.08006600399820496,0.064040608067144,0.08654804517965876,0.08666761507842988,0.008140561231546117,0.008588919698820887,0.007147143721335923,0.007625393415411944,0.05875718368014254,0.06077435448185916,0.05654531958199533,0.05578016404246645,0.009296636262398125,0.3655381790512838,tungro_virus,tungro_virus (56).bmp,0.05618223852040816,0.0001124920352552396,0.0001391235245849198,0.0001410451545878758,0.0001370147531748999,0.4486701711934774,0.4486530549719888,0.4526999080882353,0.4310162346188476
620,tungro_virus (57).bmp,0.04956830176535766,0.2464913514474974,0.6013785738906456,0.3468963137189705,0.3193499481522118,0.3348315653865024,0.32152689929432,0.530720966982196,0.5225253039579346,0.4866528221257548,0.5144934678897088,0.06795228167994542,0.08508794629495968,0.09595959176529487,0.07528085722951995,0.1287840422763371,0.1282526837931169,0.1300882531722098,0.126346207759483,0.006184866688809157,0.006076623063952278,0.005002346237311363,0.006099238618264636,0.04804194519025926,0.0471526581558392,0.04369089401008961,0.04729916029251128,0.01893611144836701,0.0,tungro_virus,tungro_virus (57).bmp,0.09958944515306123,0.0001441462770951487,0.0001815026492938618,0.0001835047342337842,0.0001791799493293718,0.4769366340286115,0.4769323354341737,0.4812381984043617,0.4310162346188476
621,tungro_virus (58).bmp,0.06681875418601298,0.1732948673322255,0.6920367411616646,0.312972561032595,0.2831665658374858,0.3247878410426909,0.270825798811591,0.5987656950264699,0.5896835720898737,0.4970198686792808,0.5890849270771972,0.08981329273820601,0.1102348293166863,0.08787857105988972,0.1247298134308749,0.1154219747291349,0.1133718466904285,0.1299811487143905,0.1104791886728673,0.007388387545174498,0.007247533985196476,0.005450952573052005,0.007744399731683652,0.05477054126642204,0.05373102421667448,0.04653763187825898,0.05641222887493696,0.00230007001294913,0.2663474130298873,tungro_virus,tungro_virus (58).bmp,0.1438536352040816,0.0001782595232000872,0.000191676764612738,0.0001969338312298804,0.0001862915434746313,0.5589683529661865,0.5589606154961985,0.5629317351940776,0.4310162346188476
622,tungro_virus (59).bmp,0.09087236597111177,0.1695924910246059,0.6201496998384686,0.320183218985333,0.2902766138467718,0.3313672515914205,0.2959785459314175,0.6193063363604576,0.6023030465628633,0.5354645476335527,0.5802511060423415,0.0966236005552171,0.1363931050472827,0.1079475613705635,0.1201692446419358,0.1229461149013241,0.1248348346798083,0.1361366100948282,0.1277551526496617,0.00852744728129053,0.00856732523340949,0.006450202676539089,0.00863049947317897,0.06074994188811815,0.0606646190378417,0.05256437701585556,0.06100208286472,0.005242041428694068,0.5845997219501917,tungro_virus,tungro_virus (59).bmp,0.1630062181122449,0.0001897419872376354,0.000204286764498597,0.0002096749577517939,0.000198718092266432,0.5507304484293717,0.5507174744897959,0.5556055234593837,0.4310162346188476
623,tungro_virus (60).bmp,0.1155371819443725,0.1533751737606258,0.6284362087564173,0.3341486431319923,0.2822746577034161,0.3240732581948494,0.3204637987537009,0.6133607366559223,0.6407789882735728,0.5438720061738832,0.5504464492256269,0.09065437564684783,0.1547810860646528,0.1510798156205396,0.1149226506788723,0.132065788444461,0.1199729926345693,0.1437102319350113,0.1452556278074259,0.007168226925292977,0.00817848849602246,0.007174864314898378,0.007253474425692042,0.05357355598676602,0.05866917199440946,0.05670027063332277,0.0537792494866979,0.005244980134013351,0.3612918979811033,tungro_virus,tungro_virus (60).bmp,0.1570671237244898,0.0001836262672798374,0.000198370496525242,0.0002033956624602389,0.00019334438743322,0.5361443014705882,0.536125231342537,0.5411219956732694,0.4310162346188476
624,tungro_virus (61).bmp,0.1736365836808975,0.5820775646731091,0.7861907914747966,0.3998702153148772,0.3843653568734912,0.3195144618571201,0.3060909568068068,0.5289117163005111,0.4882602015707643,0.5715241984301883,0.6250031676891011,0.05697882733057816,0.0722751042993205,0.129684449678678,0.1099256584090054,0.1775170321295818,0.1915124503011946,0.1484416252760541,0.1350816299280024,0.005077798856318447,0.005164126738541898,0.005749071922258574,0.006137277698380876,0.04139798032478842,0.0416880874857835,0.04837870618496461,0.04751980796058842,0.00471871531016035,0.6085244455442069,tungro_virus,tungro_virus (61).bmp,0.1647401147959184,0.0001988267729245312,0.0002199232788853157,0.0002247531663382674,0.0002149694948524995,0.5294793698729492,0.529459987119848,0.5338968399859945,0.4310162346188476
